fields,changed,arm,n,p50_ms,p95_ms,min_ms,max_ms,sql_min,sql_max
1,1,journal_exact,200,10.4025,13.3226,8.6322,176.6013,20,20
1,1,reference,200,28.790149999999997,50.5002,21.9023,137.8603,22,22
8,1,journal_exact,200,11.186150000000001,15.1819,9.2845,202.1295,20,20
8,1,reference,200,33.990399999999994,55.3973,25.9084,244.2966,22,22
8,4,journal_exact,200,11.8833,16.4716,9.622,440.4238,32,32
8,4,reference,200,57.96955,103.8923,39.0624,220.1416,55,55
8,8,journal_exact,200,21.50845,26.3133,11.0452,194.2289,48,48
8,8,reference,200,75.71265,129.1359,62.0266,235.5815,99,99
32,1,journal_exact,200,11.41075,15.9003,9.2857,189.971,20,20
32,1,reference,200,34.74925,54.6619,23.8707,241.4882,22,22
32,4,journal_exact,200,23.88505,31.1682,19.4238,225.9572,32,32
32,4,reference,200,55.3185,101.1052,43.7508,232.0257,55,55
32,32,journal_exact,200,13.07215,17.7661,11.7733,125.7592,144,144
32,32,reference,200,187.23725,292.7151,164.9685,390.4435,363,363
128,1,journal_exact,200,11.332799999999999,14.7634,10.2199,152.7469,20,20
128,1,reference,200,29.34535,57.5555,25.1964,194.0815,22,22
128,4,journal_exact,200,11.60675,16.7482,10.4948,346.4182,32,32
128,4,reference,200,44.39255,72.7215,38.3967,206.4234,55,55
128,128,journal_exact,200,22.087899999999998,30.5259,18.4475,71.3951,528,528
128,128,reference,200,712.00365,1039.8256,585.3349,1569.3663,1419,1419
