comparison,stratum_type,stratum,n,rule_0_human_0,rule_0_human_1,rule_1_human_0,rule_1_human_1,agreement_count,percent_agreement,cohen_kappa,gwet_ac1,pabak,human_positive,human_positive_rate,rule_positive,rule_positive_rate
v1 rule,overall,all,325,52,6,32,235,287,0.8830769230769231,0.6607702027138384,0.822447776643616,0.7661538461538462,241,0.7415384615384616,267,0.8215384615384616
v1 rule,endpoint,context,174,51,6,30,87,138,0.7931034482758621,0.5761266747868454,0.6031927023945268,0.5862068965517242,93,0.5344827586206896,117,0.6724137931034483
v1 rule,endpoint,stale,151,1,0,2,148,149,0.9867549668874173,0.4949832775919757,0.9863994595811755,0.9735099337748345,148,0.9801324503311258,150,0.9933774834437086
v1 rule,scenario,A2,86,2,0,5,79,81,0.9418604651162791,0.423592493297588,0.9354596622889306,0.8837209302325582,79,0.9186046511627907,84,0.9767441860465116
v1 rule,scenario,A3,88,49,6,25,8,57,0.6477272727272727,0.15068493150684908,0.4211140583554377,0.2954545454545454,14,0.1590909090909091,33,0.375
v1 rule,scenario,A6,69,1,0,0,68,69,1.0,1.0,1.0,1.0,68,0.9855072463768116,68,0.9855072463768116
v1 rule,scenario,B4,82,0,0,2,80,80,0.975609756097561,0.0,0.9750076196281621,0.9512195121951219,80,0.975609756097561,82,1.0
v1 rule,model_config,D1,87,23,0,10,54,77,0.8850574712643678,0.7406082289803221,0.7960140679953106,0.7701149425287357,54,0.6206896551724138,64,0.735632183908046
v1 rule,model_config,G1,120,15,1,11,93,108,0.9,0.6577946768060838,0.859402460456942,0.8,94,0.7833333333333333,104,0.8666666666666667
v1 rule,model_config,G2,118,14,5,11,88,102,0.864406779661017,0.5549269212635551,0.8053608247422681,0.728813559322034,93,0.788135593220339,99,0.8389830508474576
v2.1 rule,overall,all,325,49,4,35,237,286,0.88,0.6441705735380815,0.8201732295752967,0.76,241,0.7415384615384616,272,0.8369230769230769
v2.1 rule,endpoint,context,174,48,4,33,89,137,0.7873563218390804,0.5625764370158989,0.5970835810620521,0.5747126436781609,93,0.5344827586206896,122,0.7011494252873564
v2.1 rule,endpoint,stale,151,1,0,2,148,149,0.9867549668874173,0.4949832775919757,0.9863994595811755,0.9735099337748345,148,0.9801324503311258,150,0.9933774834437086
v2.1 rule,scenario,A2,86,2,0,5,79,81,0.9418604651162791,0.423592493297588,0.9354596622889306,0.8837209302325582,79,0.9186046511627907,84,0.9767441860465116
v2.1 rule,scenario,A3,88,46,4,28,10,56,0.6363636363636364,0.19817767653758553,0.3769911504424779,0.2727272727272727,14,0.1590909090909091,38,0.4318181818181818
v2.1 rule,scenario,A6,69,1,0,0,68,69,1.0,1.0,1.0,1.0,68,0.9855072463768116,68,0.9855072463768116
v2.1 rule,scenario,B4,82,0,0,2,80,80,0.975609756097561,0.0,0.9750076196281621,0.9512195121951219,80,0.975609756097561,82,1.0
v2.1 rule,model_config,D1,87,25,1,8,53,78,0.896551724137931,0.7708516242317822,0.8125224470250211,0.7931034482758621,54,0.6206896551724138,61,0.7011494252873564
v2.1 rule,model_config,G1,120,12,0,14,94,106,0.8833333333333333,0.5731707317073171,0.8409392160575648,0.7666666666666666,94,0.7833333333333333,108,0.9
v2.1 rule,model_config,G2,118,12,3,13,90,102,0.864406779661017,0.5244332493702771,0.8112754898040786,0.728813559322034,93,0.788135593220339,103,0.8728813559322034
