stratum_type,stratum,unit,metric,replicates,seed,lower_95,upper_95,valid_replicates,undefined_replicates
overall,all,case,percent_agreement,5000,20260910,0.8461538461538461,0.9138461538461539,5000,0
overall,all,case,cohen_kappa,5000,20260910,0.5426222064514118,0.740918640960554,5000,0
overall,all,case,gwet_ac1,5000,20260910,0.7614678899082568,0.8746780879456846,5000,0
overall,all,case,pabak,5000,20260910,0.6923076923076923,0.8276923076923077,5000,0
overall,all,model,percent_agreement,5000,20260911,0.864406779661017,0.896551724137931,5000,0
overall,all,model,cohen_kappa,5000,20260911,0.5244332493702771,0.7708516242317822,5000,0
overall,all,model,gwet_ac1,5000,20260911,0.8076341794225925,0.8409392160575648,5000,0
overall,all,model,pabak,5000,20260911,0.728813559322034,0.7931034482758621,5000,0
overall,all,cell,percent_agreement,5000,20260912,0.7678518907563026,0.9702040636388573,5000,0
overall,all,cell,cohen_kappa,5000,20260912,0.44236339635389943,0.8427114949610163,5000,0
overall,all,cell,gwet_ac1,5000,20260912,0.5742134979731375,0.9660246825414538,5000,0
overall,all,cell,pabak,5000,20260912,0.5357037815126051,0.9404081272777144,5000,0
endpoint,context,case,percent_agreement,5000,20260920,0.7241379310344828,0.8448275862068966,5000,0
endpoint,context,case,cohen_kappa,5000,20260920,0.4425456672161322,0.676107149123348,5000,0
endpoint,context,case,gwet_ac1,5000,20260920,0.4733921815889029,0.7160078777758904,5000,0
endpoint,context,case,pabak,5000,20260920,0.4482758620689655,0.6896551724137931,5000,0
endpoint,context,model,percent_agreement,5000,20260921,0.7333333333333333,0.8703703703703703,5000,0
endpoint,context,model,cohen_kappa,5000,20260921,0.4181818181818181,0.7428571428571428,5000,0
endpoint,context,model,gwet_ac1,5000,20260921,0.5199999999999999,0.7408296194720603,5000,0
endpoint,context,model,pabak,5000,20260921,0.46666666666666656,0.7407407407407407,5000,0
endpoint,context,cell,percent_agreement,5000,20260922,0.6292134831460674,0.9302526062550117,5000,0
endpoint,context,cell,cohen_kappa,5000,20260922,0.25735762517518157,0.8081499107674003,5000,0
endpoint,context,cell,gwet_ac1,5000,20260922,0.2761203636444857,0.8983456248754236,5000,0
endpoint,context,cell,pabak,5000,20260922,0.2584269662921348,0.8605052125100234,5000,0
endpoint,stale,case,percent_agreement,5000,20260930,0.9668874172185431,1.0,5000,0
endpoint,stale,case,cohen_kappa,5000,20260930,0.0,1.0,4773,227
endpoint,stale,case,gwet_ac1,5000,20260930,0.9648551146281857,1.0,5000,0
endpoint,stale,case,pabak,5000,20260930,0.9337748344370862,1.0,5000,0
endpoint,stale,model,percent_agreement,5000,20260931,0.9393939393939394,1.0,5000,0
endpoint,stale,model,cohen_kappa,5000,20260931,0.47619047619047644,0.49504950495049843,3536,1464
endpoint,stale,model,gwet_ac1,5000,20260931,0.9316062176165804,1.0,5000,0
