"profile"	"command"	"class"	"expected"	"actual"	"status"	"wall_ms"	"model"
"S1"	"StateInvariantPreserved"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"2313"	"auto_decte_batch.als"
"S1"	"P0NoMachineAuthoritativeWrite"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1646"	"auto_decte_batch.als"
"S1"	"P1ExactContext"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2024"	"auto_decte_batch.als"
"S1"	"P3AuthorizationIntegrity"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1851"	"auto_decte_batch.als"
"S1"	"P4Freshness"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1728"	"auto_decte_batch.als"
"S1"	"P5TransitionBijection"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1632"	"auto_decte_batch.als"
"S1"	"FullNoPartialItemEffects"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"2113"	"auto_decte_batch.als"
"S1"	"RejectionHasNoEffect"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"1577"	"auto_decte_batch.als"
"S1"	"SingletonContractEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1857"	"auto_decte_batch.als"
"S1"	"SingletonEffectEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2112"	"auto_decte_batch.als"
"S1"	"FullRejectsAblatedAttempt"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2507"	"auto_decte_batch.als"
"S1"	"P6MissingAnchorIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1684"	"auto_decte_batch.als"
"S1"	"P6DuplicateSourceVersionIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1869"	"auto_decte_batch.als"
"S1"	"LegalAdmissionTraceCompleteUnderWellFormedPre"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"6571"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_accept_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"1967"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_correction_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2098"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_mixed_accept_correction"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2124"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_same_value_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2102"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_initial_snapshot"	"legal-witness"	"SAT"	"SAT"	"PASS"	"1999"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_singleton"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2100"	"auto_decte_batch.als"
"S1"	"SAT_ABL_1_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2323"	"auto_decte_batch.als"
"S1"	"SAT_ABL_2a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2482"	"auto_decte_batch.als"
"S1"	"SAT_ABL_2b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2285"	"auto_decte_batch.als"
"S1"	"SAT_ABL_3_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2261"	"auto_decte_batch.als"
"S1"	"SAT_ABL_4a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2320"	"auto_decte_batch.als"
"S1"	"SAT_ABL_4b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2505"	"auto_decte_batch.als"
"S1"	"SAT_ABL_5_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2590"	"auto_decte_batch.als"
"S1"	"SAT_ABL_6_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2525"	"auto_decte_batch.als"
"S1"	"SAT_ABL_8_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2587"	"auto_decte_batch.als"
"S1"	"SAT_ABL_9_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2542"	"auto_decte_batch.als"
"S1"	"SAT_ABL_10_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2686"	"auto_decte_batch.als"
"S1"	"SAT_P6_legal_anchor_loss"	"attack-witness"	"SAT"	"SAT"	"PASS"	"2406"	"auto_decte_batch.als"
"S1"	"SAT_P6_legal_anchor_replacement"	"attack-witness"	"SAT"	"SAT"	"PASS"	"2270"	"auto_decte_batch.als"
"S1"	"SAT_P6_legal_source_version_duplicate"	"attack-witness"	"SAT"	"SAT"	"PASS"	"2344"	"auto_decte_batch.als"
"S2"	"StateInvariantPreserved"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"7243"	"auto_decte_batch_s2.als"
"S2"	"P0NoMachineAuthoritativeWrite"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2371"	"auto_decte_batch_s2.als"
"S2"	"P1ExactContext"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"3420"	"auto_decte_batch_s2.als"
