"profile"	"command"	"class"	"expected"	"actual"	"status"	"wall_ms"	"model"
"S1"	"StateInvariantPreserved"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"2401"	"auto_decte_batch.als"
"S1"	"P0NoMachineAuthoritativeWrite"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1677"	"auto_decte_batch.als"
"S1"	"P1ExactContext"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2113"	"auto_decte_batch.als"
"S1"	"P3AuthorizationIntegrity"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1886"	"auto_decte_batch.als"
"S1"	"P4Freshness"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1730"	"auto_decte_batch.als"
"S1"	"P5TransitionBijection"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1661"	"auto_decte_batch.als"
"S1"	"FullNoPartialItemEffects"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"2206"	"auto_decte_batch.als"
"S1"	"RejectionHasNoEffect"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"1651"	"auto_decte_batch.als"
"S1"	"SingletonContractEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1982"	"auto_decte_batch.als"
"S1"	"SingletonEffectEquivalence"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2059"	"auto_decte_batch.als"
"S1"	"FullRejectsAblatedAttempt"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"2487"	"auto_decte_batch.als"
"S1"	"P6MissingAnchorIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1667"	"auto_decte_batch.als"
"S1"	"P6DuplicateSourceVersionIncomplete"	"regression"	"UNSAT"	"UNSAT"	"PASS"	"1697"	"auto_decte_batch.als"
"S1"	"LegalAdmissionTraceCompleteUnderWellFormedPre"	"preservation"	"UNSAT"	"UNSAT"	"PASS"	"6773"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_accept_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"1970"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_correction_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2050"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_mixed_accept_correction"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2048"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_same_value_multi"	"legal-witness"	"SAT"	"SAT"	"PASS"	"2097"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_initial_snapshot"	"legal-witness"	"SAT"	"SAT"	"PASS"	"1989"	"auto_decte_batch.als"
"S1"	"SAT_BATCH_singleton"	"legal-witness"	"SAT"	"SAT"	"PASS"	"1962"	"auto_decte_batch.als"
"S1"	"SAT_TRACE_wellformed_pre_initial"	"trace-witness"	"SAT"	"SAT"	"PASS"	"2006"	"auto_decte_batch.als"
"S1"	"SAT_TRACE_wellformed_pre_carryforward"	"trace-witness"	"SAT"	"SAT"	"PASS"	"2238"	"auto_decte_batch.als"
"S1"	"SAT_ABL_1_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2193"	"auto_decte_batch.als"
"S1"	"SAT_ABL_2a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2242"	"auto_decte_batch.als"
"S1"	"SAT_ABL_2b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2189"	"auto_decte_batch.als"
"S1"	"SAT_ABL_3_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2292"	"auto_decte_batch.als"
"S1"	"SAT_ABL_4a_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2297"	"auto_decte_batch.als"
"S1"	"SAT_ABL_4b_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2261"	"auto_decte_batch.als"
"S1"	"SAT_ABL_5_effective_pair"	"ablation-witness"	"SAT"	"SAT"	"PASS"	"2296"	"auto_decte_batch.als"
