label,mode,case,accepted,review_mismatches,zero_write_on_reject
integer,original_confirm,accept,True,,False
integer,original_confirm,correction,True,,False
integer,original_confirm,reselect,True,,False
integer,original_confirm,request_substitution,True,displayed_candidate,False
integer,original_confirm,value_substitution,True,authorized_value,False
integer,original_confirm,principal_substitution,True,reviewer,False
integer,original_confirm,stale,False,,True
integer,original_confirm,replay,False,,True
integer,original_confirm,rollback,False,,True
integer,original_confirm,dom_only_substitution,True,displayed_candidate,False
integer,session_gate,accept,True,,False
integer,session_gate,correction,True,,False
integer,session_gate,reselect,True,,False
integer,session_gate,request_substitution,False,,True
integer,session_gate,value_substitution,False,,True
integer,session_gate,principal_substitution,False,,True
integer,session_gate,stale,False,,True
integer,session_gate,replay,False,,True
integer,session_gate,rollback,False,,True
integer,session_gate,dom_only_substitution,True,displayed_candidate,False
decimal,original_confirm,accept,True,,False
decimal,original_confirm,correction,True,,False
decimal,original_confirm,reselect,True,,False
decimal,original_confirm,request_substitution,True,displayed_candidate,False
decimal,original_confirm,value_substitution,True,authorized_value,False
decimal,original_confirm,principal_substitution,True,reviewer,False
decimal,original_confirm,stale,False,,True
decimal,original_confirm,replay,False,,True
decimal,original_confirm,rollback,False,,True
decimal,original_confirm,dom_only_substitution,True,displayed_candidate,False
decimal,session_gate,accept,True,,False
decimal,session_gate,correction,True,,False
decimal,session_gate,reselect,True,,False
decimal,session_gate,request_substitution,False,,True
decimal,session_gate,value_substitution,False,,True
decimal,session_gate,principal_substitution,False,,True
decimal,session_gate,stale,False,,True
decimal,session_gate,replay,False,,True
decimal,session_gate,rollback,False,,True
decimal,session_gate,dom_only_substitution,True,displayed_candidate,False
boolean,original_confirm,accept,True,,False
boolean,original_confirm,correction,True,,False
boolean,original_confirm,reselect,True,,False
boolean,original_confirm,request_substitution,True,displayed_candidate,False
boolean,original_confirm,value_substitution,True,authorized_value,False
boolean,original_confirm,principal_substitution,True,reviewer,False
boolean,original_confirm,stale,False,,True
boolean,original_confirm,replay,False,,True
boolean,original_confirm,rollback,False,,True
boolean,original_confirm,dom_only_substitution,True,displayed_candidate,False
boolean,session_gate,accept,True,,False
boolean,session_gate,correction,True,,False
boolean,session_gate,reselect,True,,False
boolean,session_gate,request_substitution,False,,True
boolean,session_gate,value_substitution,False,,True
boolean,session_gate,principal_substitution,False,,True
boolean,session_gate,stale,False,,True
boolean,session_gate,replay,False,,True
boolean,session_gate,rollback,False,,True
boolean,session_gate,dom_only_substitution,True,displayed_candidate,False
