fields,versions,records,arm,n,p50_ms,p95_ms,min_ms,max_ms,sql_min,sql_max
1,1,1,batch,200,6.05655,8.3758,5.3638,14.1233,12,12
1,1,1,point_lookup,200,7.16855,10.5813,6.4206,16.567,15,15
1,1,100,batch,200,6.1453500000000005,9.2711,5.7137,10.3783,12,12
1,1,100,point_lookup,200,7.3327,10.8848,6.7795,16.506,15,15
1,1,1000,batch,200,7.267849999999999,11.2352,6.1614,17.3768,12,12
1,1,1000,point_lookup,200,8.714,13.2496,7.3025,16.8547,15,15
1,10,1,batch,200,8.1155,14.5743,7.1323,45.7865,12,12
1,10,1,point_lookup,200,22.4354,35.3336,19.9708,62.4858,42,42
1,10,100,batch,200,7.4451,12.1207,6.6197,23.3455,12,12
1,10,100,point_lookup,200,20.6495,32.4757,18.5798,45.9352,42,42
1,10,1000,batch,200,7.845750000000001,12.6939,6.7404,19.9562,12,12
1,10,1000,point_lookup,200,21.7155,34.7146,19.4198,47.1817,42,42
1,100,1,batch,200,20.51935,24.1431,18.5224,57.4756,12,12
1,100,1,point_lookup,200,152.0729,163.5207,140.6396,186.9219,312,312
1,100,100,batch,200,22.3467,36.9779,18.8073,61.5098,12,12
1,100,100,point_lookup,200,164.95884999999998,205.9942,143.0613,313.5505,312,312
1,100,1000,batch,200,24.5878,38.6193,20.4575,76.8099,12,12
1,100,1000,point_lookup,200,177.41570000000002,219.39,153.0038,305.6412,312,312
8,1,1,batch,200,7.4894,10.929,6.78,22.3281,12,12
8,1,1,point_lookup,200,18.316200000000002,27.8163,16.7492,36.7274,36,36
8,1,100,batch,200,8.1157,14.2648,6.5684,30.5238,12,12
8,1,100,point_lookup,200,19.66955,35.648,16.3405,51.0105,36,36
8,1,1000,batch,200,7.86125,12.3226,7.078,20.3668,12,12
8,1,1000,point_lookup,200,19.75695,29.4592,17.5757,59.179,36,36
8,10,1,batch,200,10.988150000000001,16.6644,8.9829,19.8987,12,12
8,10,1,point_lookup,200,37.1687,52.7353,31.8282,74.2987,63,63
8,10,100,batch,200,9.0459,12.072,8.1793,40.0913,12,12
8,10,100,point_lookup,200,31.3276,42.472,28.7948,57.4708,63,63
8,10,1000,batch,200,10.997599999999998,15.0452,8.9173,20.6102,12,12
8,10,1000,point_lookup,200,37.467,48.3292,31.0498,83.9424,63,63
8,100,1,batch,200,28.086,37.5128,24.8655,64.4646,12,12
8,100,1,point_lookup,200,169.8941,229.1792,154.9121,379.1115,333,333
8,100,100,batch,200,29.47675,38.7415,26.3663,83.7391,12,12
8,100,100,point_lookup,200,178.3452,206.8193,162.5393,367.8741,333,333
8,100,1000,batch,200,32.3855,48.3252,27.1531,67.8629,12,12
8,100,1000,point_lookup,200,196.7314,247.6147,168.6186,310.7905,333,333
32,1,1,batch,200,10.9536,14.997,10.0845,19.858,12,12
32,1,1,point_lookup,200,52.950599999999994,66.6515,50.1912,86.6743,108,108
32,1,100,batch,200,12.9542,19.4145,10.9811,29.391,12,12
32,1,100,point_lookup,200,61.3282,77.0787,53.3558,114.5895,108,108
32,1,1000,batch,200,11.48125,14.6146,10.3715,25.1004,12,12
32,1,1000,point_lookup,200,54.53205,73.0843,50.8009,103.2022,108,108
32,10,1,batch,200,16.1553,22.7831,14.6572,57.0841,12,12
32,10,1,point_lookup,200,77.028,98.5648,69.6347,156.6914,135,135
32,10,100,batch,200,14.553,18.5021,13.2058,63.8009,12,12
32,10,100,point_lookup,200,67.7008,80.5868,62.4682,115.7996,135,135
32,10,1000,batch,200,14.54895,19.9438,13.1151,27.0441,12,12
32,10,1000,point_lookup,200,68.60995,85.0595,62.4485,102.6664,135,135
32,100,1,batch,200,56.13405,70.4863,48.5161,101.1227,12,12
32,100,1,point_lookup,200,245.75185,298.9559,218.3018,328.3176,405,405
32,100,100,batch,200,56.33075,76.6539,47.5715,124.5668,12,12
32,100,100,point_lookup,200,247.93035,299.675,214.4019,395.1105,405,405
32,100,1000,batch,200,55.654650000000004,74.3464,47.3921,103.7589,12,12
32,100,1000,point_lookup,200,241.15814999999998,303.7751,213.6496,401.1642,405,405
128,1,1,batch,200,30.941650000000003,43.0268,24.4044,72.0287,12,12
128,1,1,point_lookup,200,221.63325,290.86,181.1935,414.4244,396,396
128,1,100,batch,200,28.19525,35.4558,25.5201,60.7699,12,12
128,1,100,point_lookup,200,199.9041,256.4897,186.8401,371.0724,396,396
128,1,1000,batch,200,28.67875,43.2596,24.7666,75.6463,12,12
128,1,1000,point_lookup,200,209.81055,256.0266,184.1888,341.0751,396,396
128,10,1,batch,200,42.55265,61.8695,35.5059,121.9506,12,12
128,10,1,point_lookup,200,245.19965,304.1836,206.86,377.2459,423,423
128,10,100,batch,200,38.41705,48.5027,34.6923,81.0508,12,12
128,10,100,point_lookup,200,221.51895000000002,255.5022,206.0326,330.7268,423,423
128,10,1000,batch,200,39.6923,48.1613,36.8845,87.3563,12,12
128,10,1000,point_lookup,200,233.81675,285.4332,213.3529,374.8447,423,423
128,100,1,batch,200,155.22699999999998,206.2049,135.4055,279.792,12,12
128,100,1,point_lookup,200,476.06965,581.5694,411.5195,653.7827,693,693
128,100,100,batch,200,141.00119999999998,176.7004,130.3437,197.7998,12,12
128,100,100,point_lookup,200,436.33495,489.8792,407.8466,628.9674,693,693
128,100,1000,batch,200,170.2419,216.745,145.7726,286.1686,12,12
128,100,1000,point_lookup,200,509.0902,595.8451,450.4569,690.5893,693,693
