fields,changed,arm,n,p50_ms,p95_ms,min_ms,max_ms,sql_min,sql_max
1,1,full,200,23.233,33.7561,19.9567,133.057,18,18
1,1,materialization,200,9.97205,14.6316,8.8034,211.3563,7,7
8,1,full,200,23.8707,65.8309,19.8461,192.5192,18,18
8,1,materialization,200,10.4002,15.0462,8.8634,74.8307,7,7
8,4,full,200,36.6825,57.2355,29.1074,198.574,36,36
8,4,materialization,200,11.47955,19.4649,9.4339,178.9726,7,7
8,8,full,200,50.23205,97.5036,39.1075,207.387,60,60
8,8,materialization,200,11.376650000000001,17.2204,9.6605,100.3622,7,7
32,1,full,200,26.997700000000002,45.747,21.6857,118.4636,18,18
32,1,materialization,200,11.0001,16.5231,9.305,171.5714,7,7
32,4,full,200,44.2301,97.98,36.3371,199.9612,36,36
32,4,materialization,200,17.31495,23.6608,14.05,188.7139,7,7
32,32,full,200,122.67580000000001,200.0048,105.5806,258.9152,204,204
32,32,materialization,200,13.8926,22.6097,11.6019,191.4845,7,7
128,1,full,200,29.10435,48.0825,23.5207,152.8965,18,18
128,1,materialization,200,11.08375,17.2128,9.2697,161.7957,7,7
128,4,full,200,38.3297,87.8915,31.436,182.4473,36,36
128,4,materialization,200,11.3385,17.1936,9.7188,121.6116,7,7
128,128,full,200,427.58675,621.2037,357.5661,793.2421,780,780
128,128,materialization,200,23.4983,37.4329,18.8565,51.9909,7,7
